dimension,sitc2,score,sitc2_label
2,97,14.4524742955611,"97 - Gold, non-monetary (excluding gold ores and concentrates)"
2,96,0.103482442493575,"96 - Coin (other than gold coin), not being legal tender"
2,67,252.71372455093,67 - Iron and steel
2,69,142.568501235837,"69 - Manufactures of metals, n.e.s."
2,72,79.7546797135446,72 - Machinery specialized for particular industries
2,71,104.332839974871,71 - Power generating machinery and equipment
2,74,157.398306433801,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
2,75,76.1253577319638,75 - Office machines and automatic data processing equipment
2,73,23.1754976173645,73 - Metalworking machinery
2,76,206.3984838325,"76 - Telecommunications, sound recording and reproducing equipment"
2,79,42.6053889846215,79 - Other transport equipment
2,78,592.119581193681,78 - Road vehicles (including air-cushion vehicles)
2,95,0.994982042696022,"95 - Armoured fighting vehicles, war firearms, ammunition, parts, n.e.s."
2,82,65.8955640170321,82 - Furniture and parts thereof
3,00,0.0244768724295462,00 - Live animals chiefly for food
3,94,1.77635683940025e-15,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
3,01,15.3826023288172,01 - Meat and meat preparations
3,03,9.59618997420479,"03 - Fish, crustacean and molluscs, and preparations thereof"
3,02,0.529324520176928,02 - Dairy products and birds' eggs
3,06,0.294677520533437,"06 - Sugar, sugar preparations and honey"
3,09,1.49497189076512,09 - Miscellaneous edible products and preparations
3,29,0.98491864533181,"29 - Crude animal and vegetable materials, n.e.s."
3,05,35.0136634536598,05 - Vegetables and fruit
3,07,0.0587384563966928,"07 - Coffee, tea, cocoa, spices, and manufactures thereof"
3,04,4.94839520329923,04 - Cereals and cereal preparations
3,59,174.405362506249,"59 - Chemical materials and products, n.e.s."
3,22,2.44249065417534e-15,22 - Oil seeds and oleaginous fruit
3,08,0.480336442424415,08 - Feeding stuff for animals (not including unmilled cereals)
3,58,6.67606365685115,"58 - Artificial resins and plastic materials, and cellulose esters and ethers"
3,26,0.502740830000447,26 - Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)
3,41,1.09822596792944,41 - Animal oils and fats
3,42,4.94512449864997,42 - Fixed vegetable oils and fats
3,43,0.313326282038229,"43 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
3,51,9.65716890453397,51 - Organic chemicals
3,11,17.2483612079604,11 - Beverages
3,12,32.2862260512932,12 - Tobacco and tobacco manufactures
3,27,10.8674923906713,"27 - Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)"
3,66,11.262550261605,"66 - Non-metallic mineral manufactures, n.e.s."
3,28,25.3846273428389,28 - Metalliferous ores and metal scrap
3,32,1.77635683940025e-15,"32 - Coal, coke and briquettes"
3,34,191.991179828209,"34 - Gas, natural and manufactured"
3,33,253.068372090564,"33 - Petroleum, petroleum products and related materials"
3,35,56.3547374958507,35 - Electric current
3,52,8.86808189169654,52 - Inorganic chemicals
3,68,36.8131725393283,68 - Non-ferrous metals
3,54,6.21990057320641,54 - Medicinal and pharmaceutical products
3,89,6.20910580486679,"89 - Miscellaneous manufactured articles, n.e.s."
3,56,5.83405312623022,"56 - Fertilizers, manufactured"
3,53,3.25063231852426,"53 - Dyeing, tanning and colouring materials"
3,55,0.90261600993851,55 - Oils and perfume materials; toilet and cleansing preparations
3,57,0.113278564455218,57 - Explosives and pyrotechnic products
3,88,0.603945991861788,"88 - Photographic equipment and supplies and optical goods, n.e.s.; watches and clocks"
3,87,11.5060674379501,"87 - Professional, scientific and controlling instruments and apparatus, n.e.s."
3,84,27.6606561754678,84 - Articles of apparel and clothing accessories
3,23,4.66293670342566e-15,23 - Crude rubber (including synthetic and reclaimed)
3,62,0.982664528115604,"62 - Rubber manufactures, n.e.s."
3,21,2.15402239904029,"21 - Hides, skins and furskins, raw"
3,61,0.226061419958226,"61 - Leather, leather manufactures, n.e.s., and dressed furskins"
3,83,0.0111293059594032,"83 - Travel goods, handbags and similar containers"
3,24,0.466387214867351,24 - Cork and wood
3,63,4.13016624716434,"63 - Cork and wood, cork manufactures (excluding furniture)"
3,64,5.43137662740969,"64 - Paper, paperboard, and articles of pulp, of paper or of paperboard"
3,65,11.3835730227599,"65 - Textile yarn, fabrics, made-up articles, n.e.s., and related products"
3,25,1.52662791977074,25 - Pulp and waste paper
3,77,14.9260193542795,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
3,85,6.33681579692734,85 - Footwear
3,81,0.947267444475017,"81 - Sanitary, plumbing, heating, lighting fixtures and fittings, n.e.s."
3,97,1.33226762955019e-15,"97 - Gold, non-monetary (excluding gold ores and concentrates)"
3,96,0.0739626779461641,"96 - Coin (other than gold coin), not being legal tender"
3,67,262.359868466795,67 - Iron and steel
3,69,12.1251688144109,"69 - Manufactures of metals, n.e.s."
3,72,11.7751549585472,72 - Machinery specialized for particular industries
3,71,8.33514316154292,71 - Power generating machinery and equipment
3,74,16.4630038482658,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
3,75,1.30721601880232,75 - Office machines and automatic data processing equipment
3,73,0.0850572047842051,73 - Metalworking machinery
3,76,15.285673647968,"76 - Telecommunications, sound recording and reproducing equipment"
3,79,19.649433668179,79 - Other transport equipment
3,78,6.30985216277978,78 - Road vehicles (including air-cushion vehicles)
3,95,2.3395277724527,"95 - Armoured fighting vehicles, war firearms, ammunition, parts, n.e.s."
3,82,0.879955557466715,82 - Furniture and parts thereof
4,00,0.160651873307999,00 - Live animals chiefly for food
4,94,1.77635683940025e-15,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
4,01,31.2097969464354,01 - Meat and meat preparations
4,03,0.527234718886857,"03 - Fish, crustacean and molluscs, and preparations thereof"
4,02,10.885654460679,02 - Dairy products and birds' eggs
4,06,2.66564970136616,"06 - Sugar, sugar preparations and honey"
4,09,6.95991700142419,09 - Miscellaneous edible products and preparations
4,29,0.627825149208248,"29 - Crude animal and vegetable materials, n.e.s."
4,05,36.4544887755366,05 - Vegetables and fruit
4,07,1.16961884152383,"07 - Coffee, tea, cocoa, spices, and manufactures thereof"
4,04,1.16837112298885,04 - Cereals and cereal preparations
4,59,1.22065933087996,"59 - Chemical materials and products, n.e.s."
