hs6,dimension,score,sitc2,sitc2_label
850164,2,0.923324640981721,71,71 - Power generating machinery and equipment
850211,2,0.449141519874708,71,71 - Power generating machinery and equipment
850212,2,0.370872005582384,71,71 - Power generating machinery and equipment
850213,2,0.230460207501544,71,71 - Power generating machinery and equipment
850220,2,0.36389155857586,71,71 - Power generating machinery and equipment
850231,2,2.64812233379499,71,71 - Power generating machinery and equipment
850239,2,1.96301886999349,71,71 - Power generating machinery and equipment
850240,2,0.054461780375053,71,71 - Power generating machinery and equipment
850300,2,10.6448148363619,71,71 - Power generating machinery and equipment
850410,2,1.57402378714303,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850421,2,0.779878906336546,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850422,2,0.744053288069341,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850423,2,1.87258352499381,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850431,2,0.733359986171809,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850432,2,0.320998293565591,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850433,2,0.358064989727318,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850434,2,0.476763365266527,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850440,2,7.86055458207843,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850450,2,1.08251509895804,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850490,2,2.03701232668408,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850511,2,0.564423081277398,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850519,2,0.373952763490418,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850520,2,0.28224861028582,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850590,2,0.721174136875391,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850610,2,0.503986647274693,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850630,2,0.00171722921469071,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850640,2,0.0253729112996624,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
